"URL"||"RESP_CODE"||"BRM_CATEGORY_ID"||"TITLE_DESC"||"META_KEYWORDS"||"META_DESCRIPTION"
"http://www.themjdirectory.com/join"||200||7||"Join The MJ Directory - Today!"||"Marijuana/Cannabis/Hemp, Marijuana Dispensaries, Products, Services and Deals"||"Join The MJ Directory. Create Your Account Today!"
"http://www.lifescurecbd.com"||301||7||"Lifes Cure CBD"||""||"CBD, CBD Oil, CBD tincture"
"http://www.winningft.ph"||301||4||"Winningft.ph - Home"||"Winningft, Winningft Philippines, Winningft agent, Winningft.ph, Winningft ph, Winning ft, Winningft broker, sports betting online Philippines, online betting Philippines, sports betting Philippines,"||"Winningft"
"http://cgglass-electronics.weebly.com"||302||7||"Featured Products"||""||""
"http://www.e-junkie.com"||200||10008||"E-junkie - Sell Digital Downloads with our Simple Shopping Cart"||""||"Our shopping cart helps you sell digital downloads &amp; tangible goods with PayPal, 2Checkout & Authorize.Net"
"http://pornoplace.lv"||502||10008||"NA"||"NA"||"NA"
"http://code42.com"||301||10008||"Endpoint Data Protection and Security | Code42"||""||"Code42's highly secure cloud solutions enable IT and security teams to limit risk, meet data privacy regulations and recover from data loss, no matter the cause."
"http://biolumaresearch.com/"||301||5||"BioLumaResearch"||""||""
"http://u2torrents.com/"||200||10008||""||""||""
"http://www.aeton.nl"||200||10008||"NA"||"NA"||"NA"
"http://xbox.udp.at"||200||10008||"BoxTorrent - Your resource to xbox torrents! All about Xbox, except retailgames"||"xbox,xbox 360,xbox360,torrent,bittorrent,torrents,torrentz,demos,games,trailers,download,free,evolutionx,evox,xbmc,mediaplayer,mediacenter,slayer,bios,emulators,emulation,mame,roms,archive,c64,psx,nes,snes,n64,daphne,arcade,neogeo"||"Your resource to xbox torrents. All xbox torrents - no games :). Emulation forever!"
"http://miracle-plants.myshopify.com/"||404||5||"NA"||"NA"||"NA"
"http://Alldebrid.in"||301||10008||"Alldebrid Premium Reseller"||"BigShareshop |Realdebrid , Hotfile , Megaupload , 4Shared , Filefactory , Depositfiles , Mediafire , Megashares , Uploaded Letitbit , Vip-file , MyDownloader , FileDownloader , Easy-Share , Uploading , Downloadnow , FileSonic Storage , Zshare , Fileserve , Megashares , 2Leech , Leechpack , Realdebrid , Shareflare , Bitshare Megavideo , Megalive , Megapix , Megabox , x7.to , Videobb , duckload , Filesmonster , Uploadbox Badongo , Freakshare , Fileflyer , Vimeo , Imageshake , Netload , Zevera , Extabit , Bitshare , "||"Alldebrid  Premium Accounts Download Movies Music Ebooks Software warez free download "
"http://billing.leafleech.com"||200||10008||"Portal Home - LeafLeech"||""||""
"http://glasscollective.bigcartel.com"||200||7||"NA"||"NA"||"NA"
"http://betabbs.com"||3||10008||"NA"||"NA"||"NA"
"http://cmoki.pl"||200||10008||"NA"||"NA"||"NA"
"http://hydrophen.com"||200||7||"Hydrophen Diet Drops | Burn Fat and Suppress the appetite"||""||""
"http://www.eventbrite.com/e/herb-n-baked-420smokeout-la-42016-tickets-23077009958"||301||7||"Herb N Baked #420Smokeout LA 4.20.16 Tickets, Wed, Apr 20, 2016 at 8:00 PM | Eventbrite"||""||"Eventbrite - Herb N Baked presents Herb N Baked #420Smokeout LA 4.20.16 - Wednesday, April 20, 2016 | Thursday, April 21, 2016 at 3409 W Temple St, Los Angeles, CA. Find event and ticket information."
"http://darkville.com.mx/"||200||10008||"Darkville - El lado oscuro de de las series"||""||"En Darkville encontraras toda la actualidad sobre tus series favoritas, entra y conoce el mundo de series que tenemos para ti."
"http://odchudzanie.nl"||303||5||"NA"||"NA"||"NA"
"http://powerfullbody.com"||200||5||"Powerfullbody"||""||"Powerfullbody"
"http://egnyte.com"||200||10008||"Egnyte Enterprise File Sharing"||""||"Egnyte provides Enterprise File Sharing built from the Cloud down.  Access, Share and Control 100% of your data from anywhere using any smartphone, tablet or computer."
"http://hugefiles.net"||200||10008||"HugeFiles.net - Cloud storage for your HUGE Files"||"file sharing, hugefiles, email files, ftp files, sharing videos, sharing big files, sending big files"||"Need to send HUGE files - HugeFiles.net is the solution for you. FREE registration!"
"http://xennews.com"||200||10008||":: Xennews ::"||"usenet,newsgroups. binairies"||"usenet services"
"http://uploaded.net"||200||10008||"uploaded.net"||"uploaded, ul, uploaded.to, ul.to, upload, download, free, premium, one click hoster, och, sharehoster"||"the easiest way to backup and share your files with everyone."
"http://www.behappybotanicals.com"||200||5||"Be Happy Botanicals | Be Happy Botanicals"||""||"Online store for quality supplements and botanical ingredients such as kratom leaf powder."
"http://literecords.com"||301||10008||"Lite Records"||""||""
"http://store-6zza0.mybigcommerce.com"||200||7||"Heady Ginger"||"Heady, Pipes, Rigs, E-cigs, Clothing, Hats, 420, 710, Grassroots, Bongs, Bong, Heady Glass, Glass Pipes, Oil rigs, Rigs, rigs, headyglass, glassbongs, glass bong, glass oil rig, glass rig, heady rigs, heady ginger, headyginger, headyginger, ginger, Pipes for sale, pipes forsale, glass forsale. glass for sale, glass pipe for sale, rig for sale, rigs for sale, toro glass, mother ship glass, recycler, oil rig recycler, sherlock pipe, spoon pipe, heady boro, boro, boro pipe,"||"Providing quality headiness at discount prices!"
"http://torrentfunk.com"||403||10008||"NA"||"NA"||"NA"
"http://0ebffcf3-c157-11e5-89e1-14feb5d39fb2.mysimplestore.com"||404||7||"NA"||"NA"||"NA"
"http://www.thepremiergolfclub.com"||200||4||"Premier Golf Club | Golf Handicaps, Tournaments & Leagues"||""||"Premier Golf Club is for golfers wanting a USGA golf handicap & playing in golf tournaments at premier golf courses in Phoenix AZ and Denver CO area."
"http://www.liveitupvapor.com"||200||5||"NA"||"NA"||"NA"
"http://www.yahoo-inc.com"||301||4||"Yahoo"||"yahoo, yahoo home page, yahoo homepage, yahoo search, yahoo mail, yahoo messenger, yahoo games, news, finance, sport, entertainment"||"A new welcome to Yahoo. The new Yahoo experience makes it easier to discover the news and information that you care about most. It's the web ordered for you."
"http://charlinclub.bonanza.com"||200||5||"charlinclub"||""||""
"http://bt.davka.info"||200||10008||"DavkaBT - basketball torrents"||"NA"||"Basketball BT files"
"http://hd-space.org"||302||10008||"HD-Space - Sharing The Universe .::. Index"||""||""
"http://saizen-fansubs.com"||301||10008||"Saizen Fansubs"||""||""
"http://bodyfirst.ie/"||200||5||"Bodyfirst Nutrition | Bodyfirst"||""||""
"http://torrentz.me"||200||10008||"Torrentz Search Engine"||""||""
"http://longfiles.com"||302||10008||"LongFiles.Com - Easy way to share your files"||"file upload,share files,free upload"||"LongFiles.Com - Free file upload service"
"http://eliteportugas.com"||200||10008||"NA"||"NA"||"NA"
"http://mmjrecs.com"||301||7||"Online Medical Marijuana Card California | MMJ Recs"||""||"Get Your Medical Marijuana Card Online Immediately. Quickly Find Medical Marijuana Doctors in California and Get Your Weed Card Online Now!"
"http://imgur.com"||200||10008||"Imgur: The most awesome images on the Internet"||"images, funny, image host, image sharing, reaction gif, viral images, current events, cute, visual storytelling, gif"||"Imgur is the best place to share and enjoy the most awesome images on the Internet. Every day, millions of people use Imgur to be entertained and inspired by funny, heartwarming and helpful images and stories from all around the world."
"http://rapidgator.net"||200||10008||"Rapidgator.net: Fast, safe and secure file hosting"||""||""
"http://glassonglass.myshopify.com"||404||7||"NA"||"NA"||"NA"
"http://filehippo.com"||302||10008||"FileHippo.com - Download Free Software"||"download software freeware shareware program filehippo file hippo"||"Fast downloads of the latest free software!"
"http://wetransfer.com"||301||10008||"WeTransfer"||""||"WeTransfer is a free service to send big or small files from A to B"
"http://iasobody.com"||200||5||"iaso body | Lose 5 lbs in 5 days with iaso all natural, organic weight loss products"||""||""
"http://www.eventbrite.com/e/kind-social-spring-2016-tickets-22721099420?aff=efbbt"||301||7||"Kind Social Tickets, Sat, Apr 2, 2016 at 6:00 PM | Eventbrite"||""||"Eventbrite - Club Kindness  presents Kind Social - Saturday, April 2, 2016 in Ontario, CA. Find event and ticket information."
"http://creativecommons.org"||200||10008||"Creative Commons"||"creative commons, commons, free culture, free software, open source, attribution, non-commercial, share-alike, no derivatives, ryan merkley, copyleft, lessig, sharing"||"Creative Commons licenses provide a flexible range of protections and freedoms for authors, artists, and educators. "
"http://officefootballpools.com"||200||4||"Office Football Pool Hosting :: Pro and College Football Pools :: College Bowl Pools :: Pickem :: Key Pick Pools :: Confidence Pools :: Survivor Pools :: Office Pool Hosting :: Golf Pools :: Baseball Pools :: Nascar Pools :: Fantasy Nascar :: Soccer Pools :: Office Football Pool"||"football pools, baseball pools, golf pools, Pickem, Key Picks, Confidence Ranks, Best Bets, Survivor Pools, Fantasy Football, Fantasy Golf, 13 Run Pools, Share Pools, Fantasy Nascar, Soccer Pools"||"Office Pool Hosting for Football Pools, including NFL and College Football Pools, Pickem Pools, Survivor Pools, Share Pools, Superbowl Squares, Fantasy Football. Also including Baseball pools, Golf pools, Soccer pools and Nascar pools."
"http://powerfullbody.com/"||200||5||"Powerfullbody"||""||"Powerfullbody"
"http://nitroroms.com"||200||10008||""||""||""
"http://mfladdons.com"||200||10008||"MFLaddons.com... The Next Level"||"Draftsmasters Fantasy Football Season- Website Design, Graphic Design, SEO - MFLaddons Design fantasy football, fantasy, football, ffl, on-line, leagues, league, fflnet, web, software, myfantasyleague.com, myfantasyleague, my, MFLaddons, MFL Templates, MyFantasyLeague templates, MFL graphics, MFL templates, My Fantasy League graphics, My Fantasy League templates"||"MFLaddons.com offers the best My Fantasy League (MFL) templates and graphics, for use with your MFL league."
"http://eml.cc"||301||10008||"FastMail: Fast, reliable email"||""||"Secure, reliable email hosting for businesses, families and professionals. Premium email with no ads, excellent spam protection and rapid personal support."
"http://pcloud.com"||301||10008||"pCloud - File Security Made Simple | pCloud"||"cloud storage, online storage, personal storage space, free online storage, free cloud storage, send large files, collaboration, share files"||"pCloud provides a cloud storage solution for businesses of any size! pCloud will take care of all your business & enterprise cloud storage requirements! Join today!"
"http://www.betsolo.com"||302||4||"BetSolo"||""||""
"http://smartcashsystem.com"||200||10008||"SmartCashSystem.com - Make $4000/Week Online"||"Magento, Varien, E-commerce"||"Default Description"
"http://store-7vfhl.mybigcommerce.com"||200||7||"Store Unavailable"||""||""
"http://swpt.org"||301||10008||"Swing - SWPT Swinger Community & Lifestyle"||"swing,swinge,swingue,swingers,troca de casais,site swing,encontros,encontros online,encontros casuais,casais swing,swing pt,bar swing,clube swing,clube de swing,club de swing,swing clube,swing portugal,swing em portugal"||"NA"
"http://25283ade-06f0-11e5-a319-f04da2069d31.mysimplestore.com"||200||7||"Head Eaze"||""||""
"http://www.thes.srvusd.k12.ca.us/Foundation"||200||4||"Tassajara Hills Elementary School: Foundation"||""||""
"http://www.made-in-china.com/showroom/suleeworld/companyinfo/Phtdpeptides-Co-Ltd.html"||200||5||"The information is not available right now"||""||""
"http://www.zeenyglass.com"||200||7||"NA"||"NA"||"NA"
"http://cheapkratom4u.com"||200||7||"CheapKratom4u"||"Sumatran Leaf Malay Leaf Horn Leaf Maeng Da Leaf Blends Borneo Leaf ecommerce, open source, shop, online shopping "||"CheapKratom4u :  - Sumatran Leaf Malay Leaf Horn Leaf Maeng Da Leaf Blends Borneo Leaf ecommerce, open source, shop, online shopping"
"http://torcache.net"||3||10008||"NA"||"NA"||"NA"
"http://mirrorcreator.com"||301||10008||"Mirrorcreator - Upload files to multiple hosts"||"File mirroring, file backup, multiple file backup, file upload, file hosting"||"Mirrorcreator helps you create multiple mirrors for your files. Upload and store files simultaneously to free hosting providers including Oboom, Filecloud, Solidfiles, 4shared, Uploaded, Turbobit, Ziddu, Gett  etc."
"http://code42.com"||301||10008||"Endpoint Data Protection and Security | Code42"||""||"Code42's highly secure cloud solutions enable IT and security teams to limit risk, meet data privacy regulations and recover from data loss, no matter the cause."
"http://bodyreconstruct.com/products/hcg-drops"||404||5||"NA"||"NA"||"NA"
"http://ann.siambit.com"||302||10008||"Login :: SiamBIT: Domains Tracker The Best Thailand Bittorrent Website Since 2005"||""||"SiamBIT.tv - Download music, movies, games, software and much more."
"http://www.aeton.nl"||200||10008||"NA"||"NA"||"NA"
"http://leechpro.com"||200||10008||"Premium Link Generator Free | Cbox LeechPro.Com"||""||"cbox leechpro.com"
"http://mobincube.mobi/3PU863"||200||7||"Hi5 vapes App Android, iPhone, Windows Phone"||""||""
"http://deviloid.net"||200||10008||"Deviloid torrent tracker, download porn XXX Adult torrents movies and pictures."||"Porn torrent, xxx torrent, download torrent, adult torrent, amateur, anal, asian, bbw, bdsm, blacks, blowjob, boob, classics, sex clips, creampies dvds, features, fetish, foreign, games, gay, gonzo, hardcore, hd vids, hentai, homemade sex, interracial, latin, lesbian, mature, orgies, images, shemales, transexuals, bizzare, site rips, straight, teens"||"Download adult torrent tracker xxx torrents sex pictures movie video femjoy met-art metart amourangels EvasGarden Hegre-art MetModels TeenModels Brazzers Bangbros Teamskeet fakeagent streetblowjob NaughtyAmerica dirtymasseur LegalPorno tryteens Monstercurves RylskyArt GirlsDoPorn Hotandmean"
"http://sharethis.com"||301||10008||"ShareThis Social Sharing Buttons to Optimize Publisher Content"||""||"ShareThis' social media share buttons and consumer insights drive publisher engagement and real time understanding and analytics for and data-driven business."
"http://glasspirate.com"||200||7||"Pirate Glass"||""||""
"http://sugarsync.com"||301||10008||"Blocked .:. PayPal Information Security"||""||""
"http://www.usenetbucket.com"||302||10008||"NA"||"NA"||"NA"
"http://icollectsg.com"||200||5||"iCollect Technology"||""||"Focused on bringing traditional retailers online. Retailers no longer need to focus on time consuming e-commerce. We manage the key products sales online."
"http://www.fitexpres.sk/"||301||5||"NA"||"NA"||"NA"
"http://rofront.ro"||302||10008||"RoFront Vs 3.0.::Login::."||""||""
"http://oggear.com"||3||7||"NA"||"NA"||"NA"
"http://privetatlet.ru"||200||5||"NA"||"NA"||"NA"
"http://ge.tt"||200||10008||"Ge.tt"||""||""
"http://foresightlinux.se"||200||10008||""||""||""
"http://liquidclub.us"||200||10008||"Liquid Club"||""||""
"http://webkurdum.com"||302||10008||"NA"||"NA"||"NA"
"http://www.bonanza.com"||200||5||"Bonanza :: Find everything but the ordinary"||""||"Shop for everything but the ordinary. More than 25,000 sellers offering you a vibrant collection of fashion, collectibles, home decor, and more."
"http://literecords.com"||301||10008||"Lite Records"||""||""
"http://store-l2428u32.mybigcommerce.com"||200||5||"BlingnKing Store - Glutathione, Filler, Botox, Mesotherapy, placenta, Vitamin C, Biocell from around the world at cheapest price"||"blingnking, Glutathione, Filler, Botox, L-Carnitine, meso fat, meso whitening, placenta, Mesotherapy, Collagen Forte, Glutax, Restylane, perlane, Juvederm, Teofarma, Acnotic, Retin-A, biocell, stemcell, nabota, botalax, liporase, dermalax, neuroxin, dermaheal, neuroxin"||"Buy Wholesale or Retail Price for 100% Authentic Glutathione  Injection, Filler Injection, Botox Injection, Mesotherapy, placenta, Vitamin C, Biocell items online from BlingnKing. We also sell prescription medicines for acne, hormone, itchy skin etc. that available in Thailand at cheapest price!"
"http://salefiles.com/"||200||10008||"salefiles.com - Easy way to share your files"||"file upload,share files,free upload"||"salefiles.com - Free file upload service"
"http://2636ca79-15a9-11e4-8eba-842b2bfb08b7.mysimplestore.com"||200||7||"Forbidden Fantasies Parties"||""||"Romance Products for women, men, couples, and more in a home party setting. Sex has never been so much fun! Something for everyone that is 18 years old and older. Coed Parties are great too! Book your Intimate Party today or start your own business!"
"http://www.thewholesaleglass.com/"||200||7||"The Wholesale Glass"||"null"||"$10 Tnails, real professionally handmade rigs at wholesale price, why wouldn't you look at our site? Whatever you want name it, we have it!"
"http://www.marelimedical.com"||200||5||"NA"||"NA"||"NA"
"http://xtremethermoephedra.com"||200||7||"XtremeThermoEphedra | Xtreme thermoburn, Dendrobium, Synepherine, Fat Burning Pills, Fat Burners"||""||""
"http://chemcatch.com"||200||5||"Chem Catch, Global Inhibitor Store"||"NA"||"NA"
"http://www.rapidgator.net"||301||10008||"Rapidgator.net: Fast, safe and secure file hosting"||""||""
"http://pornoplace.lv"||502||10008||"NA"||"NA"||"NA"
"http://saucenao.com"||200||10008||"SauceNAO Image Search"||""||""
"http://bongscanada.com"||200||7||"Bongs, dab rigs, pipes, vaporizers, seeds, grow supplies, and many more for a discount price!"||"Bongs Canada, Bong, Canada, Free Shipping, Oil Rig, Dab Rig, Pipe, Bubbler, Water pipe, water, pipe, percolator, honey comb, weed, extracts, Fast Shipping, Toro, Roor, Mother Ship, Black Leaf, Mobius, Grav Labs, mobius, toro, sovereignty, mothership, hamm and illedelph"||"Discount bongs, pipes, dab rigs, vaporizers, seeds, grow supplies, e-cigs and more. We offer free shipping to most countries worldwide. Check us out!"
"http://thepiratebay.se"||301||10008||"Blocked .:. PayPal Information Security"||""||""
"http://uhdbits.org"||200||10008||"UHDBits"||""||""
"http://xennews.com"||200||10008||":: Xennews ::"||"usenet,newsgroups. binairies"||"usenet services"
"http://moneakscreation.storenvy.com"||503||5||"NA"||"NA"||"NA"
"http://tangledupintorrents.com"||200||10008||"TangledUpinTorrents.com"||""||""
"http://www.ghost-of-usenet.org"||200||10008||"Ghost-of-Usenet.org"||"Usenet Board Filme Movie Serien Dokumentationen Kino Download Programme Spiele XXX "||""
"http://gmbets.com"||301||4||"Sports Coin Bets - gmbets.com"||""||""
"http://www.ejunkie.com"||301||10008||"E-junkie - Sell Digital Downloads with our Simple Shopping Cart"||""||"Our shopping cart helps you sell digital downloads &amp; tangible goods with PayPal, 2Checkout & Authorize.Net"
"http://www.ssl-news.info"||200||10008||"Worldwide Usenet Services - High Quality at the Best Price | SSL-News"||"usenet, newsgroup, server, usenext, newsgroups, servers, provider, anonym"||"Company SSL-News provides quality transparency and privacy. Here you will find Premium Unlimited Usenet news server services!"
"http://imperialsmile.co.uk"||200||5||"Welcome to ISB - Imperial Smile Beauty"||""||""
"http://www.fivestardrugs.com"||302||5||"Home page"||"Five Star Drugs"||"Five Star Drugs"
"http://darkville.com.mx/"||200||10008||"Darkville - El lado oscuro de de las series"||""||"En Darkville encontraras toda la actualidad sobre tus series favoritas, entra y conoce el mundo de series que tenemos para ti."
"http://onlinecasinobuilders.com"||200||4||"Own an Online Casino - Turnkey Casino Websites for Sale - White Label Providers"||""||"Own an online casino, sportsbook, or poker site. High impact turnkey gambling websites for sale. Powered by top gaming software providers. Profitable casino business opportunity."
"http://prop215docprep.com/store"||200||7||"EZ Document Preparation | Medical Marijuana Consultation | Dispensary Experts | Own a Dispensary"||"MMJ Paperwork, MMJ Nonprofit, medical marijuana mutual benefit nonprofit, MMJ mutual benefit nonprofit, 420 mutual benefit nonprofit, Medical Marijuana, California, Dispensary, 420docprep, 420 college, 420 document preparation, Nonprofit Creation, Non-profit Creation, Nonprofit Corporation, Non-profit Corporation, Mutual Benefit, nonprofit, Non-profit, Medical Marijuana Paperwork, Business, Dispensary, Collective, Delivery, Edibles, Clones, Marijuana Lawyer, Marijuana Incorporation, Marijuana legal advise, How to start a dispensary, How to start a collective, How to start your own Medical Marijuana business, Medical Marijuana non profit creation, the weed business, opening a dispensary,  How to open a dispensary in California, How to get into the Medical Marijuana field, How to get into the Medical Marijuana industry, How to get into the Medical Marijuana business, How to get into the medical cannabis industry, how to get into selling medical marijuana, how to get into selling medical"||""
"http://egnyte.com"||200||10008||"Egnyte Enterprise File Sharing"||""||"Egnyte provides Enterprise File Sharing built from the Cloud down.  Access, Share and Control 100% of your data from anywhere using any smartphone, tablet or computer."
"http://hugefiles.net"||200||10008||"HugeFiles.net - Cloud storage for your HUGE Files"||"file sharing, hugefiles, email files, ftp files, sharing videos, sharing big files, sending big files"||"Need to send HUGE files - HugeFiles.net is the solution for you. FREE registration!"
"http://xennews.com"||200||10008||":: Xennews ::"||"usenet,newsgroups. binairies"||"usenet services"
"http://bit-italia.org"||200||10008||"www.bit-italia.org :: Benvenuto/a a www.bit-italia.org"||"templateshares, torrent, php, mysql, html, css, ajax, javascript, xam, template, share, shares, tsse, ts special edition, generation tracker source, tracker source, template shares"||"Templateshares Special Edition - Generation Tracker Source - Build your own tracker today!"
"http://www.budsoasis.com/"||200||7||"Medical Marijuana for sale online, Buy Medical Marijuana Online"||"Cannabis, Concentrates, Marijuana Edibles, Medical marijuana, Wax, Weed, pot"||"Medical marijuana for sale. Buy Medical Marijuana Online. Buy weed Online. Weed for sale. Cannabis for sale Online. CBD Oil for sale. Cannabis Oil Edibles. "
"http://smartcashsystem.com"||200||10008||"SmartCashSystem.com - Make $4000/Week Online"||"Magento, Varien, E-commerce"||"Default Description"
"http://store-qqhhwh1d.mybigcommerce.com"||200||7||"Paradise Glass and Accessories"||""||"Paradise Glass and Accessories is an online retailer of quality hand blown glass pipes, bubblers, chillums, and waterpipes, as well as other tobacco accessories."
"http://torrentfunk.com"||403||10008||"NA"||"NA"||"NA"
"http://2ebc2231-d4ba-11e5-85e1-f04da2069d31.mysimplestore.com"||200||7||"GULF CITY VAPES Vaping Supplies, Electronic Cigarettes, E-Liquid"||""||"BEST PRICES FOR VAPE MODS, SUB OHM TANKS AND ACCESSORIES! YOUR ONE STOP ONLINE VAPE SHOP"
"http://www.thoughtmatterinc.com/"||200||5||"Etizolam Research Vendor USA | Etizolam for Sale for Research"||"Etizolam Research Vendor USA, Etizolam for Sale for Research"||"We are the #1 trusted Etizolam Research Vendor offering Etizolam pellets for research for sale online in the USA. Check out our shop and get your research on!"
"http://www.massyarias.com/product/tru-metabolism/"||200||5||"NA"||"NA"||"NA"
"http://youngwizrigs.bigcartel.com"||503||7||"NA"||"NA"||"NA"
"http://chillinmixkratom.com"||301||7||"kratomwholesale"||""||""
"http://www.kovla.com"||301||10008||"Single Russian Brides for Marriage - online dating service Kovla.com"||""||"Search for love with Russian, Ukrainian and Belarusian woman for serious relationship.
Join for FREE and start new relationships with beautiful woman."
"http://hd-space.org"||302||10008||"HD-Space - Sharing The Universe .::. Index"||""||""
"http://code42.com"||301||10008||"Endpoint Data Protection and Security | Code42"||""||"Code42's highly secure cloud solutions enable IT and security teams to limit risk, meet data privacy regulations and recover from data loss, no matter the cause."
"http://bost-bh.com"||503||5||"NA"||"NA"||"NA"
"http://u2torrents.com/"||200||10008||""||""||""
"http://longfiles.com"||302||10008||"LongFiles.Com - Easy way to share your files"||"file upload,share files,free upload"||"LongFiles.Com - Free file upload service"
"http://eml.cc"||301||10008||"FastMail: Fast, reliable email"||""||"Secure, reliable email hosting for businesses, families and professionals. Premium email with no ads, excellent spam protection and rapid personal support."
"http://myhappyco.com/ru/"||200||5||"Happy.co"||""||""
"http://Alldebrid.in"||503||10008||"NA"||"NA"||"NA"
"http://webkurdum.com"||302||10008||"NA"||"NA"||"NA"
"http://godshideouscreation.tumblr.com"||302||7||"~classy lady stoner. // sassmaster 420 ~"||""||"yourdreamdealer click to buy my art lok'tar ogar, My name is Briana. I'm 21 SO HELP ME GOD IF YOU SAVE AND RE-UPLOAD PICTURES OF ME(smoking or otherwise) ON HERE, OR ANY OTHER WEBSITE I WILL HUNT YOU..."
"http://vietdvdstore.com"||200||10008||"NA"||"NA"||"NA"
"http://cmoki.pl"||200||10008||"NA"||"NA"||"NA"
"http://indoelephant.com"||302||7||"Indo Elephant"||""||"Shop powered by PrestaShop"
"http://www.happyhippoherbals.com"||200||7||"Happy Hippo Herbals"||"Kratom, Happy Hippo Kratom"||"Happy Hippo Herbals - The Freshest Kratom on Earth For Soap and Craft Making! Not for Human Consumption."
"http://creativecommons.org"||200||10008||"Creative Commons"||"creative commons, commons, free culture, free software, open source, attribution, non-commercial, share-alike, no derivatives, ryan merkley, copyleft, lessig, sharing"||"Creative Commons licenses provide a flexible range of protections and freedoms for authors, artists, and educators. "
"http://onlinekratomshop.com"||200||7||"Online Kratom Shop | The finest kratom on the market"||""||""
"http://proveyourskillz.com"||200||4||"NA"||"NA"||"NA"
"http://nitroroms.com"||200||10008||""||""||""
"http://mfladdons.com"||200||10008||"MFLaddons.com... The Next Level"||"Draftsmasters Fantasy Football Season- Website Design, Graphic Design, SEO - MFLaddons Design fantasy football, fantasy, football, ffl, on-line, leagues, league, fflnet, web, software, myfantasyleague.com, myfantasyleague, my, MFLaddons, MFL Templates, MyFantasyLeague templates, MFL graphics, MFL templates, My Fantasy League graphics, My Fantasy League templates"||"MFLaddons.com offers the best My Fantasy League (MFL) templates and graphics, for use with your MFL league."
"http://eml.cc"||301||10008||"FastMail: Fast, reliable email"||""||"Secure, reliable email hosting for businesses, families and professionals. Premium email with no ads, excellent spam protection and rapid personal support."
"http://uploaded.net"||200||10008||"uploaded.net"||"uploaded, ul, uploaded.to, ul.to, upload, download, free, premium, one click hoster, och, sharehoster"||"the easiest way to backup and share your files with everyone."
"http://www.buylowdrugs.com"||200||5||"Canadian Online Pharmacy | Canada Pharmacy | Prescription Drugs Online | Mail Order Rx Drug Store"||""||"Buy Lows Drugs is a Licensed Canadian Online Pharmacy providing mail order prescription drugs, generic drugs, and OTC medications at everyday low prices."
"http://longfiles.com"||302||10008||"LongFiles.Com - Easy way to share your files"||"file upload,share files,free upload"||"LongFiles.Com - Free file upload service"
"http://strainfarmers.com"||301||7||"NA"||"NA"||"NA"
"http://teamtptb.com"||503||10008||"NA"||"NA"||"NA"
"http://2heartinspirations.storenvy.com"||200||5||"NA"||"NA"||"NA"
"http://www.tincturesfromlove.com"||200||7||""||""||""
"http://www.mayfieldacademicboostersclub.org/store/c1/Featured_Products.html"||200||4||"Featured Products"||""||""
"http://yourdreamdealer.com"||200||7||"Your Dream Dealer"||"keyword1,keyword2,keyword3"||"Web Store Meta Description"
"http://chinaqxg.com"||301||5||"Drop Shipping"||"china drop shipping,make money"||"NA"
"http://bt.davka.info"||200||10008||"DavkaBT - basketball torrents"||"NA"||"Basketball BT files"
